category,title,context,question,answer
資訊服務處相關服務,資訊服務處相關服務,中研院資訊服務處主要任務為「支援中研院各單位之研究工作及行政業務電腦化」，身為中研院唯一的資訊服務單位，成立以來秉持的宗旨與服務理念為順應資訊科技應用發展趨勢，衡酌院內相關服務需求，適時推動各項協助提升研究工作環境及改善行政作業效率的方案。資訊服務處提供之服務項目，可分為全院共用服務、行政專用等兩大類。全院共用服務為提供中研院同仁使用之資訊相關服務；行政專用服務為提供行政、資訊人員專用之相關服務。各項服務具體提供的服務項目與內容，請至資訊服務處網頁https://its.sinica.edu.tw查詢。,請問資訊服務處的主要任務是什麼？,資訊服務處主要任務為「支援中研院各單位之研究工作及行政業務電腦化」。
全院共用服務,全院共用服務,中研院資訊服務處提供之全院共用服務，共有綜合業務、網路資訊和圖書資訊三大類，全院共用服務多使用員工帳號(SSO)登入使用，具體各項服務內容與使用方式，可參考本處網頁https://its.sinica.edu.tw。,全院共用服務中的綜合業務具體是指什麼項目？,文字說明中沒有具體說明綜合業務指的是哪些項目，需要參考中研院資訊服務處網頁https://its.sinica.edu.tw 了解詳細資訊。
全院共用服務,全院共用服務,中研院資訊服務處提供之全院共用服務，共有綜合業務、網路資訊和圖書資訊三大類，全院共用服務多使用員工帳號(SSO)登入使用，具體各項服務內容與使用方式，可參考本處網頁https://its.sinica.edu.tw。,全院共用服務的網路資訊包含哪些內容？,無法確定。提供的文字說明中只提到全院共用服務包含綜合業務、網路資訊和圖書資訊三大類，但沒有列出網路資訊的具體內容。建議參考中研院資訊服務處的網頁了解詳細的內容。
全院共用服務,全院共用服務,中研院資訊服務處提供之全院共用服務，共有綜合業務、網路資訊和圖書資訊三大類，全院共用服務多使用員工帳號(SSO)登入使用，具體各項服務內容與使用方式，可參考本處網頁https://its.sinica.edu.tw。,全院共用服務中的圖書資訊是指提供員工借閱圖書的服務嗎？,無法確定。文中只提到全院共用服務中有圖書資訊，但沒有具體說明是提供員工借閱圖書的服務或其他相關的圖書資訊服務。需要進一步查閱該網頁或進行其他查詢才能確定。
全院共用服務-綜合業務,員工帳號(SSO)申請與密碼設定,"中研院員工帳號與密碼用來存取本院各項訊服務，例如Webmail、MySpace、AS_Secure員工無線網路、VPN、公文系統、因公出國系統、所處預算管理系統、研究成果系統、網路投票系統、全院人事系統、全院會計系統等。

同仁實際到職且完成報到程序後，可以至「院內行政服務」系統( https://ssoz.apps.sinica.edu.tw/ )進行員工帳號申請。申請帳號時，請注意SSO帳號名稱等同於院內Webmail (E-mail) 帳號，請勿使用不雅字詞或含有個人隱私資料，並同時完成個人備用信箱綁定作業。基於資訊安全考量，系統沒有提供預設密碼，同仁帳號申請後，須自行進行密碼設定。

中研院員工帳號之密碼有效期為180天，密碼逾期前系統將寄送e-mail提醒信件；請於密碼到期前，至「院內行政服務」系統(https://ssoz.apps.sinica.edu.tw/ )進行密碼修改作業，以避免密碼逾期，無法存取本院服務。設定密碼時應遵守密碼原則為：長度8碼以上、大小寫視為不同密碼、密碼至少各包含一個英數字、 請勿重覆使用最近10次設定過的密碼，以及密碼使用特殊符號時，請避免使用以下符號：單引號(')、雙引號("")、反斜線(\)及空白鍵(space)。

同仁忘記員工帳號密碼或密碼失效時，請至「院內行政服務」( https://ssoz.apps.sinica.edu.tw/ )系統進行SSO員工帳號密碼重設。重新設定員工SSO帳號之密碼時，須透過綁定之備用信箱進行身份驗證後，方可重新設定密碼。如需設定或更改個人備用信箱則須填寫「個人備用電子信箱設定申請表」，逕送資訊服務處辦理設定。",申請中研院員工帳號的方式是什麼？,申請中研院員工帳號的方式是至「院內行政服務」系統( https://ssoz.apps.sinica.edu.tw/ )進行申請。
全院共用服務-綜合業務,單一服務窗口,"資訊服務處提供專人諮詢服務，中研院資訊相關服務問題都能諮詢，協助同仁在最短的時間內解決各項問題。聯繫服務窗口聯絡方式有下列幾種：
1)電話 (02-2789-8855)。
2)信箱( its@gate.sinica.edu.tw )
3)電子服務單( https://8855.sinica.edu.tw )
4)線上虛擬服務台( https://its.sinica.edu.tw/online，登入密碼 27898855)等。
服務台服務時間為上午8:30至12:20，下午1:20至5:00。請多利用線上虛擬服務台提出諮詢，可以分享畫面、寫文字訊息、開啟麥克風與視訊通話，方便服務人員即時了解您的操作方式，更能達到溝通效益！

非上班時間，請您來信或來電留下您的電話號碼，我們會在上班時間與您聯繫，如遇緊急事件，可透過各所資訊人員透過群組與我們聯繫。",服務窗口提供哪些聯絡方式？,服務窗口提供的聯絡方式有：電話、信箱、電子服務單、線上虛擬服務台。
全院共用服務-綜合業務,單一服務窗口,"資訊服務處提供專人諮詢服務，中研院資訊相關服務問題都能諮詢，協助同仁在最短的時間內解決各項問題。聯繫服務窗口聯絡方式有下列幾種：
1)電話 (02-2789-8855)。
2)信箱( its@gate.sinica.edu.tw )
3)電子服務單( https://8855.sinica.edu.tw )
4)線上虛擬服務台( https://its.sinica.edu.tw/online，登入密碼 27898855)等。
服務台服務時間為上午8:30至12:20，下午1:20至5:00。請多利用線上虛擬服務台提出諮詢，可以分享畫面、寫文字訊息、開啟麥克風與視訊通話，方便服務人員即時了解您的操作方式，更能達到溝通效益！

非上班時間，請您來信或來電留下您的電話號碼，我們會在上班時間與您聯繫，如遇緊急事件，可透過各所資訊人員透過群組與我們聯繫。",服務台的服務時間是什麼時候？,服務台服務時間為上午8:30至12:20，下午1:20至5:00。
全院共用服務-綜合業務,單一服務窗口,"資訊服務處提供專人諮詢服務，中研院資訊相關服務問題都能諮詢，協助同仁在最短的時間內解決各項問題。聯繫服務窗口聯絡方式有下列幾種：
1)電話 (02-2789-8855)。
2)信箱( its@gate.sinica.edu.tw )
3)電子服務單( https://8855.sinica.edu.tw )
4)線上虛擬服務台( https://its.sinica.edu.tw/online，登入密碼 27898855)等。
服務台服務時間為上午8:30至12:20，下午1:20至5:00。請多利用線上虛擬服務台提出諮詢，可以分享畫面、寫文字訊息、開啟麥克風與視訊通話，方便服務人員即時了解您的操作方式，更能達到溝通效益！

非上班時間，請您來信或來電留下您的電話號碼，我們會在上班時間與您聯繫，如遇緊急事件，可透過各所資訊人員透過群組與我們聯繫。",線上虛擬服務台提供哪些功能？,線上虛擬服務台提供分享畫面、寫文字訊息、開啟麥克風與視訊通話等功能。
全院共用服務-綜合業務,單一服務窗口,"資訊服務處提供專人諮詢服務，中研院資訊相關服務問題都能諮詢，協助同仁在最短的時間內解決各項問題。聯繫服務窗口聯絡方式有下列幾種：
1)電話 (02-2789-8855)。
2)信箱( its@gate.sinica.edu.tw )
3)電子服務單( https://8855.sinica.edu.tw )
4)線上虛擬服務台( https://its.sinica.edu.tw/online，登入密碼 27898855)等。
服務台服務時間為上午8:30至12:20，下午1:20至5:00。請多利用線上虛擬服務台提出諮詢，可以分享畫面、寫文字訊息、開啟麥克風與視訊通話，方便服務人員即時了解您的操作方式，更能達到溝通效益！

非上班時間，請您來信或來電留下您的電話號碼，我們會在上班時間與您聯繫，如遇緊急事件，可透過各所資訊人員透過群組與我們聯繫。",非上班時間需要怎樣聯絡服務窗口？,非上班時間可以透過來信或來電留下電話號碼，中研院資訊人員會在上班時間與您聯繫，或透過群組與服務窗口聯繫。
全院共用服務-綜合業務,單一服務窗口,"資訊服務處提供專人諮詢服務，中研院資訊相關服務問題都能諮詢，協助同仁在最短的時間內解決各項問題。聯繫服務窗口聯絡方式有下列幾種：
1)電話 (02-2789-8855)。
2)信箱( its@gate.sinica.edu.tw )
3)電子服務單( https://8855.sinica.edu.tw )
4)線上虛擬服務台( https://its.sinica.edu.tw/online，登入密碼 27898855)等。
服務台服務時間為上午8:30至12:20，下午1:20至5:00。請多利用線上虛擬服務台提出諮詢，可以分享畫面、寫文字訊息、開啟麥克風與視訊通話，方便服務人員即時了解您的操作方式，更能達到溝通效益！

非上班時間，請您來信或來電留下您的電話號碼，我們會在上班時間與您聯繫，如遇緊急事件，可透過各所資訊人員透過群組與我們聯繫。",緊急事件應該怎麼處理？,如果遇到緊急事件，可以透過各所資訊人員透過群組與資訊服務處聯繫，或在非上班時間留下聯絡電話號碼等待聯繫。
